Workbook: 2 worksheets. Cell values are tab-separated rows; "Formulas" lists formula cells by source (which can differ from the displayed value).

## Sheet: Torque Log — 1120 rows × 12 columns (A1:L1120)
Flanged Connections - Torque Verification Log											
							Date:  		9/1/2025		
							Location Name:  		DP-318		
							CHVERON PIC:  		SCOTT GREEN		
							Construction  Company:  		FORTRESS DS		
[2 empty rows]
Torque Wrench Number			Last Calibration Date			Calibration Certificates Submitted? (Y/N)			Note:  A marked up ISO Map with the associated Flange #'s as listed below must accompany this Torque Log when turned over to Noble.		
12511 5125 (30-250 LB)			6/25/2025			Yes					
12511 5155  (30-250 LB)			5/2/2025			Yes					
122360 O480 (100-600 LB)			5/1/2025			Yes					
10240 4463 (20-250 LB) 			6/25/2025			Yes			Total Flanges		718
032460 0808 (200-1000 LB)			2/4/2025			Yes			# of Flanges Inspected		205
0224900 0218 (50-250 LB)			12/4/2024			Yes			Inspection Percentage		28.6%
[2 empty rows]
ISO Flange #	ISO Number	Flange Pipe Size (in)	Bolt Diameter (in)	# of Bolts	Required Torque (ft-lbs)	Actual Torque (ft-lbs)	Wrench ID #	Torque Date	Employee Initials	Inspection Date	Inspector Initials
1	2-PF-2031101A-DCN	2" 1500	7/8"	8	130-260	260	0808	10/7/2025	IG		
2	3-PF-2051101A-BCM	3" 300	3/4"	8	100-150	150	9125	10/8/2025	IG		
3	3-PF-2051101A-BCM	3" 300	3/4"	8	100-150	150	9125	10/8/2025	AN		
4	3-PF-2051101A-BCM	2"  300	5/8"	8	60-80	80	9125	10/8/2025	IG		
5	4-PG-2131101A-BCM	6" 300	3/4"	12	110-200	200	9125	10/7/2025	AN		
6	4-PG-2131101A-BCM	4" 300	3/4"	8	100-200	200	9125	10/7/2025	IG		
7	4-PG-2131101A-BCM	4" 300	3/4"	8	100-200	200	9125	10/7/2025	IG		
8	4-PW-2061101A-BCN	4" 300	3/4"	8	100-200	200	9125	10/7/2025	IG		
9	4-PW-2061101A-BCN	4" 300	3/4"	8	100-200	200	9125	10/7/2025	AN		
10	4-PW-2061101A-BCN	2"  300	5/8"	8	60-80	80	9125	10/7/2025	AN		
11	6-PF-1001101A-BCN	6" 300	3/4"	12	110-200	200	5155	9/29/2025	IG		
12	6-PF-1001101A-BCN	6" 300	3/4"	12	110-200	200	5155	9/29/2025	IG		
13	6-PF-1001101A-BCN	6" 300	3/4"	12	110-200	200	5155	9/29/2025	IG		
14	6-PF-1001101A-BCN	6" 300	3/4"	12	110-200	200	5155	9/29/2025	IG		
15	6-PG-2041101A-BCM	2"  300	5/8"	8	60-80	80	5155	9/29/2025	IG		
16	6-PG-2041101A-BCM	2"  300	5/8"	8	60-80	80	5155	9/29/2025	IG	3/25/2026	KK
17	6-PG-2041101A-BCM	6" 300	3/4"	12	110-200	200	5155	9/29/2025	IG	3/25/2026	KK
18	6-PG-2041101A-BCM	6" 300	3/4"	12	110-200	200	5155	9/29/2025	IG	3/25/2026	KK
19	6-PG-2041101A-BCM	6" 300	3/4"	12	110-200	200	5155	9/29/2025	IG		
20	6-PG-2041101A-BCM	2"  300	5/8"	8	60-80	80	5155	9/29/2025	IG		
21	6-PG-2041101A-BCM	2"  300	5/8"	8	60-80	80	5155	9/29/2025	IG		
22	6-PG-2041101A-BCM	2"  300	5/8"	8	60-80	80	5155	9/29/2025	IG		
23	6-PG-2041101A-BCM	2"  300	5/8"	8	60-80	80	5155	9/29/2025	AC	3/25/2026	KK
24	6-PG-2041101A-BCM	2"  300	5/8"	8	60-80	80	5155	9/29/2025	AC EC		
25	6-VG-2111101A-ACM	6" 150	3/4"	8	130-200	200	5155	9/29/2025	EC		
26	8-PF-1001101A-BCN	8" 300	7/8"	12	180-320	320	0480	9/29/2025	IG EC		
27	8-PF-1001101A-BCN	2"  300	5/8"	8	60-80	80	5155	9/29/2025	IG EC		
28	8-PF-1001101A-BCN	2"  300	5/8"	8	60-80	80	5155	10/7/2025	IG EC		
29	8-PF-1001101A-BCN	3" 300	3/4"	8	100-150	150	5155	10/7/2025	IG EC		
30	8-PF-1001101A-BCN	8" 300	7/8"	12	180-320	320	0480	10/7/2025	IG EC		
31	8-PF-1001101A-BCN	8" 300	7/8"	12	180-320	320	0480	10/7/2025	IG EC		
32	8-PF-1001101A-BCN	8" 300	7/8"	12	180-320	320	0480	10/7/2025	IG EC		
33	8-PF-1001101A-BCN	8" 300	7/8"	12	180-320	320	0480	10/7/2025	IG EC	3/25/2026	KK
34	8-PF-1001101A-BCN	8" 300	7/8"	12	180-320	320	0480	10/7/2025	IG EC	3/25/2026	KK
35	2-PF-2031101B-DCN	2"  1500	7/8"	8	130-190	190	0218	9/29/2025	AN	3/25/2026	KK
36	3-PF-2051101B-BCM	3" 300	3/4"	8	100-150	150	0218	9/29/2025	AN		
37	3-PF-2051101B-BCM	3" 300	3/4"	8	100-150	150	0218	9/29/2025	AN		
38	3-PF-2051101B-BCM	3" 300	3/4"	8	100-150	150	0218	9/29/2025	AN		
39	4-PW-2061101B-BCN	4" 300	3/4"	8	100-200	200	5155	10/15/2025	IG EC		
40	4-PW-2061101B-BCN	4" 300	3/4"	8	100-200	200	5155	10/15/2025	IG EC		
41	4-PW-2061101B-BCN	4" 300	3/4"	8	100-200	200	5155	10/15/2025	IG EC		
42	6-PF-1001101B-BCN	6" 300	3/4"	12	110-200	200	5155	10/14/2025	IG EC	3/25/2026	KK
43	6-PF-1001101B-BCN	2"  300	5/8"	8	60-80	80	5155	10/14/2025	IG EC	3/25/2026	KK
44	6-PF-1001101B-BCN	2"  300	5/8"	8	60-80	80	5155	10/14/2025	IG EC		
45	6-PF-1001101B-BCN	6" 300	3/4"	12	110-200	200	5155	10/14/2025	IG EC	3/25/2026	KK
46	6-PF-1001101B-BCN	6" 300	3/4"	12	110-200	200	5155	10/14/2025	IG EC	3/25/2026	KK
47	6-PF-1001101B-BCN	6" 300	3/4"	12	110-200	200	5155	10/14/2025	IG EC		
48	6-PF-1001101B-BCN	6" 300	3/4"	12	110-200	200	5155	10/14/2025	IG EC		
49	6-PF-1001101B-BCN	6" 300	3/4"	12	110-200	200	5155	10/14/2025	IG EC		
50	6-PF-1001101B-BCN	6" 300	3/4"	12	110-200	200	5155	10/14/2025	IG EC		
51	6-PF-1001101B-BCN	6" 300	3/4"	12	110-200	200	5155	10/14/2025	IG EC		
52	6-PF-1001101B-BCN	6" 300	3/4"	12	110-200	200	0218	10/14/2025	OV		
53	6-PF-1001101B-BCN	6" 300	3/4"	12	110-200	200	0218	10/14/2025	OV		
54	6-PF-1001101B-BCN	3" 300	3/4"	8	100-150	150	0218	10/14/2025	OV		
